Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",You Would(Original Mix),DrunkenKong,,Techno,126,A min,7:51,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Regret All(Original Mix),NicoCabeza,,Techno,122,F maj,6:50,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Sa Punta(2pole Remix),Goncalo,2pole,Techno,130,D♯ min,7:03,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Take Me Back(Original Mix),LAAT,,Techno,125,B min,7:51,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Red Alert(Original Mix),Loco&Jam,,Techno,127,B maj,6:38,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Venom(Original Mix),IlijaDjokovic,,Techno,127,G♯ maj,6:34,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Sequenced(Original Mix),Sonate,,Techno,129,G min,6:01,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Medusa(Original Mix),SaraSimonit,,Techno,128,A maj,7:11,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Cubiq(Original Mix),LucaGaeta,,Techno,127,F maj,6:36,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Now(Original Mix),Sonate,,Techno,127,A min,6:04,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Shadows(Original Mix),About130,,Techno,130,F♯ min,5:28,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Collapse(Original Mix),AndreaSignore,,Techno,128,A min,6:24,TR304
"Diego Infanzon, Mattia Saviolo, Spiros Kaloumenos, Luca Gaeta, Axel Karakasis - ALL STARS 2019",Sa Punta(Original Mix),Goncalo,,Techno,126,D♯ min,7:14,TR304
