Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Wired(Original Mix),Rodg,,Trance,128,F min,3:18,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",A Syllable feat. Dezi Belle(Original Mix),"Rodg,DeziBelle",,House,123,E min,3:40,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Vice Point(Original Mix),Rodg,,Trance,128,D♭ min,3:28,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Fire feat. Patrick Baker(Original Mix),"Rodg,PatrickBaker",,Trance,128,B maj,3:37,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Indulge Me(Original Mix),Rodg,,Trance,128,G♭ min,3:41,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Leave A Light On feat. Louise Rademakers(Original Mix),"RubenDeRonde,Rodg,LouiseRademakers,LouiseRademakers",,Trance,128,B min,4:05,ARDI3659
"Rodg, Manu Zain, Louise Rademakers, Dezi Belle, Patrick Baker - High On Life",Apollo(Original Mix),Rodg,,Trance,128,E min,3:38,ARDI3659
Flynthe - Africania EP,Indigenous People(Extended Mix),Flynthe,,BigRoom,126,B♭ min,6:07,STM127
Flynthe - Africania EP,Uweya(Extended Mix),Flynthe,,BigRoom,126,F maj,6:30,STM127
"LTN, Arielle Maren - Momentum",Gravity(Original Mix),"LTN,ArielleMaren",,BigRoom,128,D♭ maj,3:38,STM122
"LTN, Arielle Maren - Momentum",Calling Out (For Love)(Original Mix),"LTN,ArielleMaren",,DeepHouse,125,D maj,5:45,STM122
"LTN, Arielle Maren - Momentum",Only In Dreams(Original Mix),"LTN,ArielleMaren",,DeepHouse,120,C min,6:36,STM122
"LTN, Arielle Maren - Momentum",A Little Perspective(Original Mix),"LTN,ArielleMaren",,Trance,128,A min,6:37,STM122
"LTN, Arielle Maren - Momentum",Release(Original Mix),"LTN,ArielleMaren",,Trance,66,A min,6:41,STM122
"LTN, Arielle Maren - Momentum",How Does It Feel(Original Mix),"LTN,ArielleMaren",,DeepHouse,122,D min,3:18,STM122
"LTN, Arielle Maren - Momentum",The Kill(Original Mix),"LTN,ArielleMaren",,Trance,128,C min,3:39,STM122
"LTN, Arielle Maren - Momentum",My Everything(Original Mix),"LTN,ArielleMaren",,DeepHouse,121,A min,3:40,STM122
"LTN, Arielle Maren - Momentum",Prisoner(Original Mix),"LTN,ArielleMaren",,DeepHouse,119,A min,3:49,STM122
"LTN, Arielle Maren - Momentum",Open Your Eyes(Original Mix),"LTN,ArielleMaren",,Trance,128,E min,5:30,STM122
"LTN, Arielle Maren - Momentum",Our Love Never Dies(Original Mix),"LTN,ArielleMaren",,DeepHouse,124,G maj,3:52,STM122
"LTN, Arielle Maren - Momentum",Someone To Love(Original Mix),"LTN,ArielleMaren",,BigRoom,128,B maj,5:36,STM122
