Album,Name,Artists,Remixers,Genre,Bpm,Key,Length,Catalog
Quizzow - Cervus / Volem,Volem(Extended Mix),Quizzow,,Trance,128,G min,5:45,FG280
Quizzow - Cervus / Volem,Cervus(Original Mix),Quizzow,,Trance,126,C min,3:49,FG280
Quizzow - Cervus / Volem,Volem(Original Mix),Quizzow,,Trance,128,G min,3:24,FG280
"Max Freegrant, Francesco Sambero, Lina Fouro - Shooting Star",Shooting Star(Extended Mix),"MaxFreegrant,FrancescoSambero,LinaFouro",,Trance,125,A min,6:16,FG279
"Max Freegrant, Francesco Sambero, Lina Fouro - Shooting Star",Shooting Star(Andre Sobota Extended Remix),"MaxFreegrant,FrancescoSambero,LinaFouro",AndreSobota,ProgressiveHouse,125,A min,6:29,FG279
"Max Freegrant, Francesco Sambero, Lina Fouro - Shooting Star",Shooting Star(Original Mix),"MaxFreegrant,FrancescoSambero,LinaFouro",,Trance,125,A min,3:15,FG279
"Max Freegrant, Francesco Sambero, Lina Fouro - Shooting Star",Shooting Star(Andre Sobota Remix),"MaxFreegrant,FrancescoSambero,LinaFouro",AndreSobota,ProgressiveHouse,125,A min,3:24,FG279
"Max Freegrant, Francesco Sambero, Lina Fouro - Shooting Star",Shooting Star(Dub Mix),"MaxFreegrant,FrancescoSambero,LinaFouro",,Trance,125,A min,6:16,FG279
"Max Freegrant, Francesco Sambero, Lina Fouro - Shooting Star",Shooting Star(Andre Sobota Dub Remix),"MaxFreegrant,FrancescoSambero,LinaFouro",AndreSobota,ProgressiveHouse,125,A min,6:31,FG279
Athom - Citadel,Citadel(Original Mix),Athom,,Trance,128,G min,6:35,FG278
Athom - Citadel,Citadel(Josa Remix),Athom,Josa,Trance,128,G min,6:33,FG278
"Max Meyer, Sendr - Parallax",Parallax(Sunny Lax Extended Remix),"MaxMeyer,Sendr",SunnyLax,Trance,128,G maj,7:00,FG277
"Max Meyer, Sendr - Parallax",Parallax(Extended Mix),"MaxMeyer,Sendr",,Trance,128,C maj,5:58,FG277
